"","user_id","status_id","created_at","screen_name","text","location","source","retweet_count","lang","verified","country","country_code","url"
"1","76518383","1103407040406450182",2019-03-06 21:28:33,"MiAmbiente","https://t.co/uXgw7U7zi2 https://t.co/uXgw7U7zi2","México","Facebook",0,"und",FALSE,NA,NA,"http://t.co/S3P9RlRDqm"
"2","1023090584","1103406306143154176",2019-03-06 21:25:38,"informador_MEX","La influenza no discrimina, esta vez le tocó al presidente de Suprema Corte  <U+0001F927> https://t.co/N4CTwgCVEL","Guadalajara, Jalisco","TweetDeck",0,"es",FALSE,NA,NA,"http://t.co/IkdAjgihRC"
"3","1023090584","1103326236581994498",2019-03-06 16:07:28,"informador_MEX","Por influenza, presidente de Suprema Corte falta a sesión https://t.co/qBUbmQe7fH","Guadalajara, Jalisco","IFTTT",0,"es",FALSE,NA,NA,"http://t.co/IkdAjgihRC"
"4","4009784543","1103405765568720909",2019-03-06 21:23:29,"IDIGHProgram","Hilary Hendin Ph.D student from Dr. Brian Ward's lab, presented her research on influenza at today's Work In Progress seminar! For more info check out: https://t.co/KZ2F1OKA3l https://t.co/4fRVcVUjmz","Montréal, Québec","Twitter Web Client",0,"en",FALSE,NA,NA,"https://t.co/v22okAKNSu"
"5","2183323887","1103405437225967616",2019-03-06 21:22:11,"doctorMarkyMark","@philiphere Umm..no.  “According to most of the authors, more randomized controlled trials with effective, large populations are needed to explore the preventive effect of vitamin D supplementation on viral influenza infections.” https://t.co/rBzYTrfNZ4","Atlanta, GA","Twitter for iPhone",0,"en",FALSE,NA,NA,"https://t.co/yFEfjeJFa4"
"6","2183323887","1103364005870088193",2019-03-06 18:37:33,"doctorMarkyMark","So, Influenza vaccination during pregnancy may actually help DECREASE the incidence of autism.  #somedocs #vaccineswork https://t.co/Y00t69zkem","Atlanta, GA","Twitter for iPhone",0,"en",FALSE,NA,NA,"https://t.co/yFEfjeJFa4"
"7","1342197398","1103405164449402881",2019-03-06 21:21:06,"angulosiete","#Nacional Presidente de la SCJN falta a sesión y reporta que tiene influenza | Ángulo 7 https://t.co/d3i0N9shia","Puebla","Hootsuite Inc.",0,"es",FALSE,NA,NA,"https://t.co/O85ZORFZMK"
"8","1015042094770081792","1103405068232126464",2019-03-06 21:20:43,"BuckTheFlu","Let's make seasonal influenza a thing of the past, get your flu shot every flu season! #JonasBrothersareback #Year3000 #BuckTheFlu https://t.co/D4nckFUp6f","Columbus, OH","Twitter Web Client",0,"en",FALSE,NA,NA,"https://t.co/yr3FBeZa6j"
"9","788653445783887872","1103404718783688713",2019-03-06 21:19:19,"jabs611","“Crisis” of Seriously Ill Migrants Slams Border Patrol — TB, Pneumonia, Influenza, Parasites https://t.co/vC60AKKhJW via @JudicialWatch","Alabama, USA","Twitter Web Client",2,"en",FALSE,NA,NA,NA
"10","32119740","1103403630852476929",2019-03-06 21:15:00,"KPWaResearch","Learning Health System at work: Paula Lozano describes how a partnership b/n researchers &amp; clinicians enabled the quick launch of an approach to reach @kpwashington members at high risk of influenza-related complications &amp; encourage them to get #vaccinated https://t.co/q38kkSw5Ms https://t.co/DyfWP8RqIU","Seattle, WA","TweetDeck",0,"en",TRUE,NA,NA,"https://t.co/yZnd26DZET"
